Time, Q
0.000000000000000000e+00,-2.000000000000000000e+00
1.010101010101010083e-01,-1.999635164006146493e+00
2.020202020202020166e-01,-1.998550549882046612e+00
3.030303030303030387e-01,-1.996760998413890986e+00
4.040404040404040331e-01,-1.994281350387870022e+00
5.050505050505050830e-01,-1.991126446590174792e+00
6.060606060606060774e-01,-1.987311127806995481e+00
7.070707070707070718e-01,-1.982850234824523161e+00
8.080808080808080662e-01,-1.977758608428948239e+00
9.090909090909090606e-01,-1.972051089406461344e+00
1.010101010101010166e+00,-1.965742518543253103e+00
1.111111111111111160e+00,-1.958847736625514369e+00
1.212121212121212155e+00,-1.951381584439435768e+00
1.313131313131313149e+00,-1.943358902771207708e+00
1.414141414141414144e+00,-1.934794532407020817e+00
1.515151515151515138e+00,-1.925703314133066169e+00
1.616161616161616132e+00,-1.916100088735534168e+00
1.717171717171717127e+00,-1.905999697000615223e+00
1.818181818181818121e+00,-1.895416979714500405e+00
1.919191919191919116e+00,-1.884366777663380121e+00
2.020202020202020332e+00,-1.872863931633445000e+00
2.121212121212121104e+00,-1.860923282410885671e+00
2.222222222222222321e+00,-1.848559670781892983e+00
2.323232323232323093e+00,-1.835787937532657565e+00
2.424242424242424310e+00,-1.822622923449369825e+00
2.525252525252525082e+00,-1.809079469318220390e+00
2.626262626262626299e+00,-1.795172415925400333e+00
2.727272727272727071e+00,-1.780916604057100061e+00
2.828282828282828287e+00,-1.766326874499509980e+00
2.929292929292929060e+00,-1.751418068038820941e+00
3.030303030303030276e+00,-1.736205025461223794e+00
3.131313131313131048e+00,-1.720702587552908946e+00
3.232323232323232265e+00,-1.704925595100067026e+00
3.333333333333333481e+00,-1.688888888888888884e+00
3.434343434343434254e+00,-1.672607309705564926e+00
3.535353535353535470e+00,-1.656095698336286004e+00
3.636363636363636243e+00,-1.639368895567242745e+00
3.737373737373737459e+00,-1.622441742184625557e+00
3.838383838383838231e+00,-1.605329078974625290e+00
3.939393939393939448e+00,-1.588045746723432572e+00
4.040404040404040664e+00,-1.570606586217238254e+00
4.141414141414140992e+00,-1.553026438242232521e+00
4.242424242424242209e+00,-1.535320143584606445e+00
4.343434343434343425e+00,-1.517502543030550433e+00
4.444444444444444642e+00,-1.499588477366255113e+00
4.545454545454544970e+00,-1.481592787377911336e+00
4.646464646464646187e+00,-1.463530313851709508e+00
4.747474747474747403e+00,-1.445415897573840702e+00
4.848484848484848619e+00,-1.427264379330495103e+00
4.949494949494949836e+00,-1.409090599907863339e+00
5.050505050505050164e+00,-1.390909400092136483e+00
5.151515151515151381e+00,-1.372735620669504941e+00
5.252525252525252597e+00,-1.354584102426159564e+00
5.353535353535353813e+00,-1.336469686148290315e+00
5.454545454545454142e+00,-1.318407212622088931e+00
5.555555555555555358e+00,-1.300411522633744932e+00
5.656565656565656575e+00,-1.282497456969449612e+00
5.757575757575757791e+00,-1.264679856415393822e+00
5.858585858585858119e+00,-1.246973561757767524e+00
5.959595959595959336e+00,-1.229393413782762234e+00
6.060606060606060552e+00,-1.211954253276567250e+00
6.161616161616161769e+00,-1.194670921025374533e+00
6.262626262626262097e+00,-1.177558257815374487e+00
6.363636363636363313e+00,-1.160631104432757521e+00
6.464646464646464530e+00,-1.143904301663714040e+00
6.565656565656565746e+00,-1.127392690294435118e+00
6.666666666666666963e+00,-1.111111111111111160e+00
6.767676767676767291e+00,-1.095074404899933018e+00
6.868686868686868507e+00,-1.079297412447091098e+00
6.969696969696969724e+00,-1.063794974538776472e+00
7.070707070707070940e+00,-1.048581931961178881e+00
7.171717171717171269e+00,-1.033673125500490286e+00
7.272727272727272485e+00,-1.019083395942900205e+00
7.373737373737373701e+00,-1.004827584074599711e+00
7.474747474747474918e+00,-9.909205306817796544e-01
7.575757575757575246e+00,-9.773770765506302194e-01
7.676767676767676463e+00,-9.642120624673427010e-01
7.777777777777777679e+00,-9.514403292181070615e-01
7.878787878787878896e+00,-9.390767175891143737e-01
7.979797979797979224e+00,-9.271360683665552660e-01
8.080808080808081328e+00,-9.156332223366199230e-01
8.181818181818181657e+00,-9.045830202854998614e-01
8.282828282828281985e+00,-8.940003029993848216e-01
8.383838383838384090e+00,-8.838999112644658762e-01
8.484848484848484418e+00,-8.742966858669338759e-01
8.585858585858586522e+00,-8.652054675929792271e-01
8.686868686868686851e+00,-8.566410972287923364e-01
8.787878787878787179e+00,-8.486184155605644985e-01
8.888888888888889284e+00,-8.411522633744856758e-01
8.989898989898989612e+00,-8.342574814567471631e-01
9.090909090909089940e+00,-8.279489105935387006e-01
9.191919191919192045e+00,-8.222413915710518051e-01
9.292929292929292373e+00,-8.171497651754768832e-01
9.393939393939394478e+00,-8.126888721930043413e-01
9.494949494949494806e+00,-8.088735534098250302e-01
9.595959595959595134e+00,-8.057186496121300223e-01
9.696969696969697239e+00,-8.032390015861090582e-01
9.797979797979797567e+00,-8.014494501179534325e-01
9.898989898989899672e+00,-8.003648359938535517e-01
1.000000000000000000e+01,-8.000000000000000444e-01
