Time, dQ
0.000000000000000000e+00,0.000000000000000000e+00
1.010101010101010083e-01,-7.799204162840528073e-03
2.020202020202020166e-01,-1.543924089378635039e-02
3.030303030303030387e-01,-2.292011019283747217e-02
4.040404040404040331e-01,-3.024181205999388125e-02
5.050505050505050830e-01,-3.740434649525559846e-02
6.060606060606060774e-01,-4.440771349862259604e-02
7.070707070707070718e-01,-5.125191307009489827e-02
8.080808080808080662e-01,-5.793694520967249822e-02
9.090909090909090606e-01,-6.446280991735538202e-02
1.010101010101010166e+00,-7.082950719314358434e-02
1.111111111111111160e+00,-7.703703703703705663e-02
1.212121212121212155e+00,-8.308539944903584051e-02
1.313131313131313149e+00,-8.897459442913989436e-02
1.414141414141414144e+00,-9.470462197734927368e-02
1.515151515151515138e+00,-1.002754820936639368e-01
1.616161616161616132e+00,-1.056871747780838838e-01
1.717171717171717127e+00,-1.109397000306091563e-01
1.818181818181818121e+00,-1.160330578512396849e-01
1.919191919191919116e+00,-1.209672482399755389e-01
2.020202020202020332e+00,-1.257422711968166906e-01
2.121212121212121104e+00,-1.303581267217631123e-01
2.222222222222222321e+00,-1.348148148148148595e-01
2.323232323232323093e+00,-1.391123354759718767e-01
2.424242424242424310e+00,-1.432506887052341915e-01
2.525252525252525082e+00,-1.472298745026018041e-01
2.626262626262626299e+00,-1.510498928680747421e-01
2.727272727272727071e+00,-1.547107438016529224e-01
2.828282828282828287e+00,-1.582124273033364281e-01
2.929292929292929060e+00,-1.615549433731252316e-01
3.030303030303030276e+00,-1.647382920110193327e-01
3.131313131313131048e+00,-1.677624732170187316e-01
3.232323232323232265e+00,-1.706274869911234005e-01
3.333333333333333481e+00,-1.733333333333333948e-01
3.434343434343434254e+00,-1.758800122436486313e-01
3.535353535353535470e+00,-1.782675237220692488e-01
3.636363636363636243e+00,-1.804958677685950807e-01
3.737373737373737459e+00,-1.825650443832262659e-01
3.838383838383838231e+00,-1.844750535659627211e-01
3.939393939393939448e+00,-1.862258953168044739e-01
4.040404040404040664e+00,-1.878175696357515245e-01
4.141414141414140992e+00,-1.892500765228038451e-01
4.242424242424242209e+00,-1.905234159779614911e-01
4.343434343434343425e+00,-1.916375880012244348e-01
4.444444444444444642e+00,-1.925925925925926763e-01
4.545454545454544970e+00,-1.933884297520661877e-01
4.646464646464646187e+00,-1.940250994796450246e-01
4.747474747474747403e+00,-1.945026017753291037e-01
4.848484848484848619e+00,-1.948209366391185082e-01
4.949494949494949836e+00,-1.949801040710132383e-01
5.050505050505050164e+00,-1.949801040710132383e-01
5.151515151515151381e+00,-1.948209366391185360e-01
5.252525252525252597e+00,-1.945026017753291314e-01
5.353535353535353813e+00,-1.940250994796450246e-01
5.454545454545454142e+00,-1.933884297520662154e-01
5.555555555555555358e+00,-1.925925925925927040e-01
5.656565656565656575e+00,-1.916375880012244626e-01
5.757575757575757791e+00,-1.905234159779615466e-01
5.858585858585858119e+00,-1.892500765228038728e-01
5.959595959595959336e+00,-1.878175696357515523e-01
6.060606060606060552e+00,-1.862258953168045017e-01
6.161616161616161769e+00,-1.844750535659627488e-01
6.262626262626262097e+00,-1.825650443832263214e-01
6.363636363636363313e+00,-1.804958677685951640e-01
6.464646464646464530e+00,-1.782675237220692765e-01
6.565656565656565746e+00,-1.758800122436487146e-01
6.666666666666666963e+00,-1.733333333333334503e-01
6.767676767676767291e+00,-1.706274869911234837e-01
6.868686868686868507e+00,-1.677624732170187594e-01
6.969696969696969724e+00,-1.647382920110193882e-01
7.070707070707070940e+00,-1.615549433731252871e-01
7.171717171717171269e+00,-1.582124273033365114e-01
7.272727272727272485e+00,-1.547107438016530057e-01
7.373737373737373701e+00,-1.510498928680747976e-01
7.474747474747474918e+00,-1.472298745026018874e-01
7.575757575757575246e+00,-1.432506887052343025e-01
7.676767676767676463e+00,-1.391123354759719877e-01
7.777777777777777679e+00,-1.348148148148149705e-01
7.878787878787878896e+00,-1.303581267217632511e-01
7.979797979797979224e+00,-1.257422711968167739e-01
8.080808080808081328e+00,-1.209672482399756083e-01
8.181818181818181657e+00,-1.160330578512397959e-01
8.282828282828281985e+00,-1.109397000306092951e-01
8.383838383838384090e+00,-1.056871747780839949e-01
8.484848484848484418e+00,-1.002754820936640756e-01
8.585858585858586522e+00,-9.470462197734937082e-02
8.686868686868686851e+00,-8.897459442914004701e-02
8.787878787878787179e+00,-8.308539944903602092e-02
8.888888888888889284e+00,-7.703703703703719541e-02
8.989898989898989612e+00,-7.082950719314376475e-02
9.090909090909089940e+00,-6.446280991735563182e-02
9.191919191919192045e+00,-5.793694520967267864e-02
9.292929292929292373e+00,-5.125191307009514113e-02
9.393939393939394478e+00,-4.440771349862277645e-02
9.494949494949494806e+00,-3.740434649525569560e-02
9.595959595959595134e+00,-3.024181205999404431e-02
9.696969696969697239e+00,-2.292011019283755890e-02
9.797979797979797567e+00,-1.543924089378650132e-02
9.898989898989899672e+00,-7.799204162840604401e-03
1.000000000000000000e+01,-1.387778780781445676e-16
