Time, dQ
0.000000000000000000e+00,0.000000000000000000e+00
1.010101010101010083e-01,7.199265381083562107e-03
2.020202020202020166e-01,1.425160697887970472e-02
3.030303030303030387e-01,2.115702479338842784e-02
4.040404040404040331e-01,2.791551882460973494e-02
5.050505050505050830e-01,3.452708907254362081e-02
6.060606060606060774e-01,4.099173553719007851e-02
7.070707070707070718e-01,4.730945821854912192e-02
8.080808080808080662e-01,5.348025711662074411e-02
9.090909090909090606e-01,5.950413223140495200e-02
1.010101010101010166e+00,6.538108356290173173e-02
1.111111111111111160e+00,7.111111111111111105e-02
1.212121212121212155e+00,7.669421487603306220e-02
1.313131313131313149e+00,8.213039485766758518e-02
1.414141414141414144e+00,8.741965105601468000e-02
1.515151515151515138e+00,9.256198347107437441e-02
1.616161616161616132e+00,9.755739210284662677e-02
1.717171717171717127e+00,1.024058769513314926e-01
1.818181818181818121e+00,1.071074380165289164e-01
1.919191919191919116e+00,1.116620752984389120e-01
2.020202020202020332e+00,1.160697887970615211e-01
2.121212121212121104e+00,1.203305785123966742e-01
2.222222222222222321e+00,1.244444444444444409e-01
2.323232323232323093e+00,1.284113865932047516e-01
2.424242424242424310e+00,1.322314049586776619e-01
2.525252525252525082e+00,1.359044995408631440e-01
2.626262626262626299e+00,1.394306703397612257e-01
2.727272727272727071e+00,1.428099173553718793e-01
2.828282828282828287e+00,1.460422405876951324e-01
2.929292929292929060e+00,1.491276400367309296e-01
3.030303030303030276e+00,1.520661157024793264e-01
3.131313131313131048e+00,1.548576675849402950e-01
3.232323232323232265e+00,1.575022956841138633e-01
3.333333333333333481e+00,1.599999999999999756e-01
3.434343434343434254e+00,1.623507805325987152e-01
3.535353535353535470e+00,1.645546372819099989e-01
3.636363636363636243e+00,1.666115702479338545e-01
3.737373737373737459e+00,1.685215794306703097e-01
3.838383838383838231e+00,1.702846648301193366e-01
3.939393939393939448e+00,1.719008264462809910e-01
4.040404040404040664e+00,1.733700642791551894e-01
4.141414141414140992e+00,1.746923783287419596e-01
4.242424242424242209e+00,1.758677685950413017e-01
4.343434343434343425e+00,1.768962350780532433e-01
4.444444444444444642e+00,1.777777777777777568e-01
4.545454545454544970e+00,1.785123966942148421e-01
4.646464646464646187e+00,1.791000918273645270e-01
4.747474747474747403e+00,1.795408631772267838e-01
4.848484848484848619e+00,1.798347107438016124e-01
4.949494949494949836e+00,1.799816345270890405e-01
5.050505050505050164e+00,1.799816345270890405e-01
5.151515151515151381e+00,1.798347107438016124e-01
5.252525252525252597e+00,1.795408631772267838e-01
5.353535353535353813e+00,1.791000918273645270e-01
5.454545454545454142e+00,1.785123966942148421e-01
5.555555555555555358e+00,1.777777777777777291e-01
5.656565656565656575e+00,1.768962350780532433e-01
5.757575757575757791e+00,1.758677685950413017e-01
5.858585858585858119e+00,1.746923783287419596e-01
5.959595959595959336e+00,1.733700642791551894e-01
6.060606060606060552e+00,1.719008264462809910e-01
6.161616161616161769e+00,1.702846648301193644e-01
6.262626262626262097e+00,1.685215794306703374e-01
6.363636363636363313e+00,1.666115702479338823e-01
6.464646464646464530e+00,1.645546372819099989e-01
6.565656565656565746e+00,1.623507805325986875e-01
6.666666666666666963e+00,1.599999999999999756e-01
6.767676767676767291e+00,1.575022956841138355e-01
6.868686868686868507e+00,1.548576675849402950e-01
6.969696969696969724e+00,1.520661157024792987e-01
7.070707070707070940e+00,1.491276400367309019e-01
7.171717171717171269e+00,1.460422405876951046e-01
7.272727272727272485e+00,1.428099173553718793e-01
7.373737373737373701e+00,1.394306703397611980e-01
7.474747474747474918e+00,1.359044995408631162e-01
7.575757575757575246e+00,1.322314049586776619e-01
7.676767676767676463e+00,1.284113865932047238e-01
7.777777777777777679e+00,1.244444444444443854e-01
7.878787878787878896e+00,1.203305785123966881e-01
7.979797979797979224e+00,1.160697887970615488e-01
8.080808080808081328e+00,1.116620752984388981e-01
8.181818181818181657e+00,1.071074380165289164e-01
8.282828282828281985e+00,1.024058769513315204e-01
8.383838383838384090e+00,9.755739210284661289e-02
8.484848484848484418e+00,9.256198347107438829e-02
8.585858585858586522e+00,8.741965105601462449e-02
8.686868686868686851e+00,8.213039485766755743e-02
8.787878787878787179e+00,7.669421487603300669e-02
8.888888888888889284e+00,7.111111111111105554e-02
8.989898989898989612e+00,6.538108356290178724e-02
9.090909090909089940e+00,5.950413223140497976e-02
9.191919191919192045e+00,5.348025711662076492e-02
9.292929292929292373e+00,4.730945821854912192e-02
9.393939393939394478e+00,4.099173553719006463e-02
9.494949494949494806e+00,3.452708907254357917e-02
9.595959595959595134e+00,2.791551882460980433e-02
9.696969696969697239e+00,2.115702479338835151e-02
9.797979797979797567e+00,1.425160697887974288e-02
9.898989898989899672e+00,7.199265381083445013e-03
1.000000000000000000e+01,0.000000000000000000e+00
