Time, ddQ
0.000000000000000000e+00,1.260000000000000009e-01
1.010101010101010083e-01,1.234545454545454557e-01
2.020202020202020166e-01,1.209090909090909105e-01
3.030303030303030387e-01,1.183636363636363653e-01
4.040404040404040331e-01,1.158181818181818201e-01
5.050505050505050830e-01,1.132727272727272749e-01
6.060606060606060774e-01,1.107272727272727297e-01
7.070707070707070718e-01,1.081818181818181845e-01
8.080808080808080662e-01,1.056363636363636394e-01
9.090909090909090606e-01,1.030909090909090942e-01
1.010101010101010166e+00,1.005454545454545490e-01
1.111111111111111160e+00,9.800000000000000377e-02
1.212121212121212155e+00,9.545454545454545858e-02
1.313131313131313149e+00,9.290909090909091339e-02
1.414141414141414144e+00,9.036363636363636820e-02
1.515151515151515138e+00,8.781818181818182301e-02
1.616161616161616132e+00,8.527272727272727781e-02
1.717171717171717127e+00,8.272727272727273262e-02
1.818181818181818121e+00,8.018181818181818743e-02
1.919191919191919116e+00,7.763636363636364224e-02
2.020202020202020332e+00,7.509090909090908317e-02
2.121212121212121104e+00,7.254545454545453798e-02
2.222222222222222321e+00,6.999999999999999278e-02
2.323232323232323093e+00,6.745454545454544759e-02
2.424242424242424310e+00,6.490909090909090240e-02
2.525252525252525082e+00,6.236363636363635721e-02
2.626262626262626299e+00,5.981818181818181202e-02
2.727272727272727071e+00,5.727272727272726682e-02
2.828282828282828287e+00,5.472727272727272163e-02
2.929292929292929060e+00,5.218181818181817644e-02
3.030303030303030276e+00,4.963636363636363125e-02
3.131313131313131048e+00,4.709090909090908605e-02
3.232323232323232265e+00,4.454545454545454086e-02
3.333333333333333481e+00,4.199999999999998179e-02
3.434343434343434254e+00,3.945454545454545048e-02
3.535353535353535470e+00,3.690909090909089141e-02
3.636363636363636243e+00,3.436363636363636009e-02
3.737373737373737459e+00,3.181818181818180102e-02
3.838383838383838231e+00,2.927272727272726971e-02
3.939393939393939448e+00,2.672727272727271064e-02
4.040404040404040664e+00,2.418181818181816545e-02
4.141414141414140992e+00,2.163636363636363413e-02
4.242424242424242209e+00,1.909090909090907506e-02
4.343434343434343425e+00,1.654545454545452987e-02
4.444444444444444642e+00,1.399999999999998468e-02
4.545454545454544970e+00,1.145454545454545336e-02
4.646464646464646187e+00,8.909090909090894295e-03
4.747474747474747403e+00,6.363636363636349103e-03
4.848484848484848619e+00,3.818181818181803910e-03
4.949494949494949836e+00,1.272727272727244840e-03
5.050505050505050164e+00,-1.272727272727286474e-03
5.151515151515151381e+00,-3.818181818181831666e-03
5.252525252525252597e+00,-6.363636363636376858e-03
5.353535353535353813e+00,-8.909090909090922050e-03
5.454545454545454142e+00,-1.145454545454546724e-02
5.555555555555555358e+00,-1.400000000000001243e-02
5.656565656565656575e+00,-1.654545454545455763e-02
5.757575757575757791e+00,-1.909090909090910282e-02
5.858585858585858119e+00,-2.163636363636364801e-02
5.959595959595959336e+00,-2.418181818181819320e-02
6.060606060606060552e+00,-2.672727272727273840e-02
6.161616161616161769e+00,-2.927272727272731134e-02
6.262626262626262097e+00,-3.181818181818182878e-02
6.363636363636363313e+00,-3.436363636363637397e-02
6.464646464646464530e+00,-3.690909090909091916e-02
6.565656565656565746e+00,-3.945454545454549211e-02
6.666666666666666963e+00,-4.200000000000003730e-02
6.767676767676767291e+00,-4.454545454545455474e-02
6.868686868686868507e+00,-4.709090909090909993e-02
6.969696969696969724e+00,-4.963636363636367288e-02
7.070707070707070940e+00,-5.218181818181821807e-02
7.171717171717171269e+00,-5.472727272727273551e-02
7.272727272727272485e+00,-5.727272727272728070e-02
7.373737373737373701e+00,-5.981818181818185365e-02
7.474747474747474918e+00,-6.236363636363639884e-02
7.575757575757575246e+00,-6.490909090909091628e-02
7.676767676767676463e+00,-6.745454545454546147e-02
7.777777777777777679e+00,-7.000000000000003442e-02
7.878787878787878896e+00,-7.254545454545457961e-02
7.979797979797979224e+00,-7.509090909090909705e-02
8.080808080808081328e+00,-7.763636363636366999e-02
8.181818181818181657e+00,-8.018181818181821519e-02
8.282828282828281985e+00,-8.272727272727273262e-02
8.383838383838384090e+00,-8.527272727272730557e-02
8.484848484848484418e+00,-8.781818181818185076e-02
8.585858585858586522e+00,-9.036363636363642371e-02
8.686868686868686851e+00,-9.290909090909094115e-02
8.787878787878787179e+00,-9.545454545454545858e-02
8.888888888888889284e+00,-9.800000000000003153e-02
8.989898989898989612e+00,-1.005454545454545767e-01
9.090909090909089940e+00,-1.030909090909090942e-01
9.191919191919192045e+00,-1.056363636363636671e-01
9.292929292929292373e+00,-1.081818181818182123e-01
9.393939393939394478e+00,-1.107272727272727852e-01
9.494949494949494806e+00,-1.132727272727273027e-01
9.595959595959595134e+00,-1.158181818181818201e-01
9.696969696969697239e+00,-1.183636363636363931e-01
9.797979797979797567e+00,-1.209090909090909383e-01
9.898989898989899672e+00,-1.234545454545455112e-01
1.000000000000000000e+01,-1.260000000000000564e-01
