Time, ddQ
0.000000000000000000e+00,7.199999999999999456e-02
1.010101010101010083e-01,7.054545454545453620e-02
2.020202020202020166e-01,6.909090909090909172e-02
3.030303030303030387e-01,6.763636363636363336e-02
4.040404040404040331e-01,6.618181818181817500e-02
5.050505050505050830e-01,6.472727272727271663e-02
6.060606060606060774e-01,6.327272727272727215e-02
7.070707070707070718e-01,6.181818181818181379e-02
8.080808080808080662e-01,6.036363636363635543e-02
9.090909090909090606e-01,5.890909090909090401e-02
1.010101010101010166e+00,5.745454545454545259e-02
1.111111111111111160e+00,5.599999999999999423e-02
1.212121212121212155e+00,5.454545454545453587e-02
1.313131313131313149e+00,5.309090909090908444e-02
1.414141414141414144e+00,5.163636363636363302e-02
1.515151515151515138e+00,5.018181818181817466e-02
1.616161616161616132e+00,4.872727272727272324e-02
1.717171717171717127e+00,4.727272727272727182e-02
1.818181818181818121e+00,4.581818181818181346e-02
1.919191919191919116e+00,4.436363636363635510e-02
2.020202020202020332e+00,4.290909090909090368e-02
2.121212121212121104e+00,4.145454545454545225e-02
2.222222222222222321e+00,3.999999999999999389e-02
2.323232323232323093e+00,3.854545454545454247e-02
2.424242424242424310e+00,3.709090909090908411e-02
2.525252525252525082e+00,3.563636363636363269e-02
2.626262626262626299e+00,3.418181818181817433e-02
2.727272727272727071e+00,3.272727272727272291e-02
2.828282828282828287e+00,3.127272727272727149e-02
2.929292929292929060e+00,2.981818181818182006e-02
3.030303030303030276e+00,2.836363636363636170e-02
3.131313131313131048e+00,2.690909090909091028e-02
3.232323232323232265e+00,2.545454545454545192e-02
3.333333333333333481e+00,2.399999999999999356e-02
3.434343434343434254e+00,2.254545454545454214e-02
3.535353535353535470e+00,2.109090909090908378e-02
3.636363636363636243e+00,1.963636363636363236e-02
3.737373737373737459e+00,1.818181818181817400e-02
3.838383838383838231e+00,1.672727272727272257e-02
3.939393939393939448e+00,1.527272727272727115e-02
4.040404040404040664e+00,1.381818181818181279e-02
4.141414141414140992e+00,1.236363636363636831e-02
4.242424242424242209e+00,1.090909090909090995e-02
4.343434343434343425e+00,9.454545454545451588e-03
4.444444444444444642e+00,7.999999999999993228e-03
4.545454545454544970e+00,6.545454545454548745e-03
4.646464646464646187e+00,5.090909090909090384e-03
4.747474747474747403e+00,3.636363636363632024e-03
4.848484848484848619e+00,2.181818181818173663e-03
4.949494949494949836e+00,7.272727272727153025e-04
5.050505050505050164e+00,-7.272727272727291803e-04
5.151515151515151381e+00,-2.181818181818187541e-03
5.252525252525252597e+00,-3.636363636363645901e-03
5.353535353535353813e+00,-5.090909090909104262e-03
5.454545454545454142e+00,-6.545454545454548745e-03
5.555555555555555358e+00,-8.000000000000007105e-03
5.656565656565656575e+00,-9.454545454545451588e-03
5.757575757575757791e+00,-1.090909090909090995e-02
5.858585858585858119e+00,-1.236363636363635443e-02
5.959595959595959336e+00,-1.381818181818181279e-02
6.060606060606060552e+00,-1.527272727272727115e-02
6.161616161616161769e+00,-1.672727272727272951e-02
6.262626262626262097e+00,-1.818181818181817400e-02
6.363636363636363313e+00,-1.963636363636363236e-02
6.464646464646464530e+00,-2.109090909090909072e-02
6.565656565656565746e+00,-2.254545454545454908e-02
6.666666666666666963e+00,-2.400000000000000744e-02
6.767676767676767291e+00,-2.545454545454545192e-02
6.868686868686868507e+00,-2.690909090909091028e-02
6.969696969696969724e+00,-2.836363636363636864e-02
7.070707070707070940e+00,-2.981818181818182700e-02
7.171717171717171269e+00,-3.127272727272727149e-02
7.272727272727272485e+00,-3.272727272727272985e-02
7.373737373737373701e+00,-3.418181818181818821e-02
7.474747474747474918e+00,-3.563636363636364657e-02
7.575757575757575246e+00,-3.709090909090909105e-02
7.676767676767676463e+00,-3.854545454545454941e-02
7.777777777777777679e+00,-4.000000000000000777e-02
7.878787878787878896e+00,-4.145454545454545225e-02
7.979797979797979224e+00,-4.290909090909089674e-02
8.080808080808081328e+00,-4.436363636363636898e-02
8.181818181818181657e+00,-4.581818181818181346e-02
8.282828282828281985e+00,-4.727272727272725794e-02
8.383838383838384090e+00,-4.872727272727273018e-02
8.484848484848484418e+00,-5.018181818181817466e-02
8.585858585858586522e+00,-5.163636363636364690e-02
8.686868686868686851e+00,-5.309090909090909138e-02
8.787878787878787179e+00,-5.454545454545454974e-02
8.888888888888889284e+00,-5.600000000000000810e-02
8.989898989898989612e+00,-5.745454545454543871e-02
9.090909090909089940e+00,-5.890909090909089707e-02
9.191919191919192045e+00,-6.036363636363635543e-02
9.292929292929292373e+00,-6.181818181818181379e-02
9.393939393939394478e+00,-6.327272727272727215e-02
9.494949494949494806e+00,-6.472727272727273051e-02
9.595959595959595134e+00,-6.618181818181816112e-02
9.696969696969697239e+00,-6.763636363636364723e-02
9.797979797979797567e+00,-6.909090909090907784e-02
9.898989898989899672e+00,-7.054545454545456395e-02
1.000000000000000000e+01,-7.199999999999999456e-02
