Time, ddQ
0.000000000000000000e+00,2.399999999999999356e-02
1.010101010101010083e-01,2.351515151515150975e-02
2.020202020202020166e-01,2.303030303030302248e-02
3.030303030303030387e-01,2.254545454545453867e-02
4.040404040404040331e-01,2.206060606060605486e-02
5.050505050505050830e-01,2.157575757575757106e-02
6.060606060606060774e-01,2.109090909090908378e-02
7.070707070707070718e-01,2.060606060606059997e-02
8.080808080808080662e-01,2.012121212121211616e-02
9.090909090909090606e-01,1.963636363636363236e-02
1.010101010101010166e+00,1.915151515151514508e-02
1.111111111111111160e+00,1.866666666666666127e-02
1.212121212121212155e+00,1.818181818181817747e-02
1.313131313131313149e+00,1.769696969696969019e-02
1.414141414141414144e+00,1.721212121212120638e-02
1.515151515151515138e+00,1.672727272727272257e-02
1.616161616161616132e+00,1.624242424242423877e-02
1.717171717171717127e+00,1.575757575757575496e-02
1.818181818181818121e+00,1.527272727272726942e-02
1.919191919191919116e+00,1.478787878787878388e-02
2.020202020202020332e+00,1.430303030303029833e-02
2.121212121212121104e+00,1.381818181818181453e-02
2.222222222222222321e+00,1.333333333333332898e-02
2.323232323232323093e+00,1.284848484848484518e-02
2.424242424242424310e+00,1.236363636363635964e-02
2.525252525252525082e+00,1.187878787878787583e-02
2.626262626262626299e+00,1.139393939393939029e-02
2.727272727272727071e+00,1.090909090909090648e-02
2.828282828282828287e+00,1.042424242424242094e-02
2.929292929292929060e+00,9.939393939393937130e-03
3.030303030303030276e+00,9.454545454545451588e-03
3.131313131313131048e+00,8.969696969696967781e-03
3.232323232323232265e+00,8.484848484848482239e-03
3.333333333333333481e+00,7.999999999999996697e-03
3.434343434343434254e+00,7.515151515151512890e-03
3.535353535353535470e+00,7.030303030303029083e-03
3.636363636363636243e+00,6.545454545454545275e-03
3.737373737373737459e+00,6.060606060606057999e-03
3.838383838383838231e+00,5.575757575757574191e-03
3.939393939393939448e+00,5.090909090909090384e-03
4.040404040404040664e+00,4.606060606060603108e-03
4.141414141414140992e+00,4.121212121212122770e-03
4.242424242424242209e+00,3.636363636363635493e-03
4.343434343434343425e+00,3.151515151515151686e-03
4.444444444444444642e+00,2.666666666666664409e-03
4.545454545454544970e+00,2.181818181818184071e-03
4.646464646464646187e+00,1.696969696969696795e-03
4.747474747474747403e+00,1.212121212121212988e-03
4.848484848484848619e+00,7.272727272727257108e-04
4.949494949494949836e+00,2.424242424242419036e-04
5.050505050505050164e+00,-2.424242424242419036e-04
5.151515151515151381e+00,-7.272727272727257108e-04
5.252525252525252597e+00,-1.212121212121212988e-03
5.353535353535353813e+00,-1.696969696969696795e-03
5.454545454545454142e+00,-2.181818181818180602e-03
5.555555555555555358e+00,-2.666666666666664409e-03
5.656565656565656575e+00,-3.151515151515151686e-03
5.757575757575757791e+00,-3.636363636363635493e-03
5.858585858585858119e+00,-4.121212121212119300e-03
5.959595959595959336e+00,-4.606060606060603108e-03
6.060606060606060552e+00,-5.090909090909090384e-03
6.161616161616161769e+00,-5.575757575757574191e-03
6.262626262626262097e+00,-6.060606060606057999e-03
6.363636363636363313e+00,-6.545454545454541806e-03
6.464646464646464530e+00,-7.030303030303029083e-03
6.565656565656565746e+00,-7.515151515151516359e-03
6.666666666666666963e+00,-8.000000000000000167e-03
6.767676767676767291e+00,-8.484848484848483974e-03
6.868686868686868507e+00,-8.969696969696967781e-03
6.969696969696969724e+00,-9.454545454545451588e-03
7.070707070707070940e+00,-9.939393939393935395e-03
7.171717171717171269e+00,-1.042424242424241920e-02
7.272727272727272485e+00,-1.090909090909090301e-02
7.373737373737373701e+00,-1.139393939393939376e-02
7.474747474747474918e+00,-1.187878787878787756e-02
7.575757575757575246e+00,-1.236363636363635443e-02
7.676767676767676463e+00,-1.284848484848484518e-02
7.777777777777777679e+00,-1.333333333333332898e-02
7.878787878787878896e+00,-1.381818181818181279e-02
7.979797979797979224e+00,-1.430303030303029660e-02
8.080808080808081328e+00,-1.478787878787878735e-02
8.181818181818181657e+00,-1.527272727272727115e-02
8.282828282828281985e+00,-1.575757575757574802e-02
8.383838383838384090e+00,-1.624242424242423877e-02
8.484848484848484418e+00,-1.672727272727272257e-02
8.585858585858586522e+00,-1.721212121212121332e-02
8.686868686868686851e+00,-1.769696969696969019e-02
8.787878787878787179e+00,-1.818181818181817400e-02
8.888888888888889284e+00,-1.866666666666666474e-02
8.989898989898989612e+00,-1.915151515151514161e-02
9.090909090909089940e+00,-1.963636363636362542e-02
9.191919191919192045e+00,-2.012121212121211616e-02
9.292929292929292373e+00,-2.060606060606059997e-02
9.393939393939394478e+00,-2.109090909090909072e-02
9.494949494949494806e+00,-2.157575757575756759e-02
9.595959595959595134e+00,-2.206060606060605139e-02
9.696969696969697239e+00,-2.254545454545454214e-02
9.797979797979797567e+00,-2.303030303030301901e-02
9.898989898989899672e+00,-2.351515151515150975e-02
1.000000000000000000e+01,-2.399999999999999356e-02
