Time, Q
0.000000000000000000e+00,-6.999999999999999556e-01
1.010101010101010083e-01,-7.003952389933412181e-01
2.020202020202020166e-01,-7.015702376277827002e-01
3.030303030303030387e-01,-7.035089183849514427e-01
4.040404040404040331e-01,-7.061952037464739318e-01
5.050505050505050830e-01,-7.096130161939773195e-01
6.060606060606060774e-01,-7.137462782090880919e-01
7.070707070707070718e-01,-7.185789122734331791e-01
8.080808080808080662e-01,-7.240948408686394000e-01
9.090909090909090606e-01,-7.302779864763335738e-01
1.010101010101010166e+00,-7.371122715781424084e-01
1.111111111111111160e+00,-7.445816186556927230e-01
1.212121212121212155e+00,-7.526699501906113365e-01
1.313131313131313149e+00,-7.613611886645250681e-01
1.414141414141414144e+00,-7.706392565590606258e-01
1.515151515151515138e+00,-7.804880763558449397e-01
1.616161616161616132e+00,-7.908915705365047177e-01
1.717171717171717127e+00,-8.018336615826667790e-01
1.818181818181818121e+00,-8.132982719759579426e-01
1.919191919191919116e+00,-8.252693241980049166e-01
2.020202020202020332e+00,-8.377307407304346309e-01
2.121212121212121104e+00,-8.506664440548737938e-01
2.222222222222222321e+00,-8.640603566529492241e-01
2.323232323232323093e+00,-8.778964010062877410e-01
2.424242424242424310e+00,-8.921584995965161635e-01
2.525252525252525082e+00,-9.068305749052610887e-01
2.626262626262626299e+00,-9.218965494141496686e-01
2.727272727272727071e+00,-9.373403456048083893e-01
2.828282828282828287e+00,-9.531458859588641808e-01
2.929292929292929060e+00,-9.692970929579438621e-01
3.030303030303030276e+00,-9.857778890836741414e-01
3.131313131313131048e+00,-1.002572196817681949e+00
3.232323232323232265e+00,-1.019663938641593992e+00
3.333333333333333481e+00,-1.037037037037037202e+00
3.434343434343434254e+00,-1.054675414485637841e+00
3.535353535353535470e+00,-1.072562993469023507e+00
3.636363636363636243e+00,-1.090683696468820463e+00
3.737373737373737459e+00,-1.109021445966655861e+00
3.838383838383838231e+00,-1.127560164444155966e+00
3.939393939393939448e+00,-1.146283774382947929e+00
4.040404040404040664e+00,-1.165176198264658680e+00
4.141414141414140992e+00,-1.184221358570914706e+00
4.242424242424242209e+00,-1.203403177783343159e+00
4.343434343434343425e+00,-1.222705578383570524e+00
4.444444444444444642e+00,-1.242112482853223732e+00
4.545454545454544970e+00,-1.261607813673929268e+00
4.646464646464646187e+00,-1.281175493327314507e+00
4.747474747474747403e+00,-1.300799444295006158e+00
4.848484848484848619e+00,-1.320463589058630482e+00
4.949494949494949836e+00,-1.340151850099814634e+00
5.050505050505050164e+00,-1.359848149900185543e+00
5.151515151515151381e+00,-1.379536410941369695e+00
5.252525252525252597e+00,-1.399200555704994020e+00
5.353535353535353813e+00,-1.418824506672685670e+00
5.454545454545454142e+00,-1.438392186326070687e+00
5.555555555555555358e+00,-1.457887517146776446e+00
5.656565656565656575e+00,-1.477294421616429876e+00
5.757575757575757791e+00,-1.496596822216657241e+00
5.858585858585858119e+00,-1.515778641429085472e+00
5.959595959595959336e+00,-1.534823801735341497e+00
6.060606060606060552e+00,-1.553716225617052249e+00
6.161616161616161769e+00,-1.572439835555844434e+00
6.262626262626262097e+00,-1.590978554033344317e+00
6.363636363636363313e+00,-1.609316303531179715e+00
6.464646464646464530e+00,-1.627437006530976671e+00
6.565656565656565746e+00,-1.645324585514362337e+00
6.666666666666666963e+00,-1.662962962962963420e+00
6.767676767676767291e+00,-1.680336061358406408e+00
6.868686868686868507e+00,-1.697427803182318229e+00
6.969696969696969724e+00,-1.714222110916326036e+00
7.070707070707070940e+00,-1.730702907042056315e+00
7.171717171717171269e+00,-1.746854114041136219e+00
7.272727272727272485e+00,-1.762659654395192010e+00
7.373737373737373701e+00,-1.778103450585850842e+00
7.474747474747474918e+00,-1.793169425094739200e+00
7.575757575757575246e+00,-1.807841500403484014e+00
7.676767676767676463e+00,-1.822103598993712659e+00
7.777777777777777679e+00,-1.835939643347051176e+00
7.878787878787878896e+00,-1.849333555945126495e+00
7.979797979797979224e+00,-1.862269259269565769e+00
8.080808080808081328e+00,-1.874730675801995705e+00
8.181818181818181657e+00,-1.886701728024042568e+00
8.282828282828281985e+00,-1.898166338417333510e+00
8.383838383838384090e+00,-1.909108429463495904e+00
8.484848484848484418e+00,-1.919511923644155571e+00
8.585858585858586522e+00,-1.929360743440939885e+00
8.686868686868686851e+00,-1.938638811335475554e+00
8.787878787878787179e+00,-1.947330049809389063e+00
8.888888888888889284e+00,-1.955418381344308010e+00
8.989898989898989612e+00,-1.962887728421857991e+00
9.090909090909089940e+00,-1.969722013523667048e+00
9.191919191919192045e+00,-1.975905159131361000e+00
9.292929292929292373e+00,-1.981421087726567221e+00
9.393939393939394478e+00,-1.986253721790912641e+00
9.494949494949494806e+00,-1.990386983806023524e+00
9.595959595959595134e+00,-1.993804796253526801e+00
9.696969696969697239e+00,-1.996491081615049401e+00
9.797979797979797567e+00,-1.998429762372217811e+00
9.898989898989899672e+00,-1.999604761006659404e+00
1.000000000000000000e+01,-2.000000000000000888e+00
