Time, dQ
0.000000000000000000e+00,0.000000000000000000e+00
1.010101010101010083e-01,2.399755127027853457e-03
2.020202020202020166e-01,4.750535659626567951e-03
3.030303030303030387e-01,7.052341597796141746e-03
4.040404040404040331e-01,9.305172941536574843e-03
5.050505050505050830e-01,1.150902969084786898e-02
6.060606060606060774e-01,1.366391184573002328e-02
7.070707070707070718e-01,1.576981940618303948e-02
8.080808080808080662e-01,1.782675237220691239e-02
9.090909090909090606e-01,1.983471074380164720e-02
1.010101010101010166e+00,2.179369452096724391e-02
1.111111111111111160e+00,2.370370370370369906e-02
1.212121212121212155e+00,2.556473829201101264e-02
1.313131313131313149e+00,2.737679828588918812e-02
1.414141414141414144e+00,2.913988368533822204e-02
1.515151515151515138e+00,3.085399449035811786e-02
1.616161616161616132e+00,3.251913070094887559e-02
1.717171717171717127e+00,3.413529231711048828e-02
1.818181818181818121e+00,3.570247933884296981e-02
1.919191919191919116e+00,3.722069176614629937e-02
2.020202020202020332e+00,3.868992959902049777e-02
2.121212121212121104e+00,4.011019283746555114e-02
2.222222222222222321e+00,4.148148148148147335e-02
2.323232323232323093e+00,4.280379553106824358e-02
2.424242424242424310e+00,4.407713498622588266e-02
2.525252525252525082e+00,4.530149984695437670e-02
2.626262626262626299e+00,4.647689011325373265e-02
2.727272727272727071e+00,4.760330578512395744e-02
2.828282828282828287e+00,4.868074686256503025e-02
2.929292929292929060e+00,4.970921334557696497e-02
3.030303030303030276e+00,5.068870523415976159e-02
3.131313131313131048e+00,5.161922252831342012e-02
3.232323232323232265e+00,5.250076522803794055e-02
3.333333333333333481e+00,5.333333333333331594e-02
3.434343434343434254e+00,5.411692684419956018e-02
3.535353535353535470e+00,5.485154576063665938e-02
3.636363636363636243e+00,5.553719008264461354e-02
3.737373737373737459e+00,5.617385981022342961e-02
3.838383838383838231e+00,5.676155494337310758e-02
3.939393939393939448e+00,5.730027548209365440e-02
4.040404040404040664e+00,5.779002142638504924e-02
4.141414141414140992e+00,5.823079277624730599e-02
4.242424242424242209e+00,5.862258953168042463e-02
4.343434343434343425e+00,5.896541169268440519e-02
4.444444444444444642e+00,5.925925925925924070e-02
4.545454545454544970e+00,5.950413223140494506e-02
4.646464646464646187e+00,5.970003060912149745e-02
4.747474747474747403e+00,5.984695439240892562e-02
4.848484848484848619e+00,5.994490358126720181e-02
4.949494949494949836e+00,5.999387817569634684e-02
5.050505050505050164e+00,5.999387817569633990e-02
5.151515151515151381e+00,5.994490358126720181e-02
5.252525252525252597e+00,5.984695439240891868e-02
5.353535353535353813e+00,5.970003060912150439e-02
5.454545454545454142e+00,5.950413223140493812e-02
5.555555555555555358e+00,5.925925925925924764e-02
5.656565656565656575e+00,5.896541169268439825e-02
5.757575757575757791e+00,5.862258953168042463e-02
5.858585858585858119e+00,5.823079277624730599e-02
5.959595959595959336e+00,5.779002142638504924e-02
6.060606060606060552e+00,5.730027548209364746e-02
6.161616161616161769e+00,5.676155494337311452e-02
6.262626262626262097e+00,5.617385981022342961e-02
6.363636363636363313e+00,5.553719008264461354e-02
6.464646464646464530e+00,5.485154576063665244e-02
6.565656565656565746e+00,5.411692684419954630e-02
6.666666666666666963e+00,5.333333333333331594e-02
6.767676767676767291e+00,5.250076522803793361e-02
6.868686868686868507e+00,5.161922252831342012e-02
6.969696969696969724e+00,5.068870523415976853e-02
7.070707070707070940e+00,4.970921334557697191e-02
7.171717171717171269e+00,4.868074686256503719e-02
7.272727272727272485e+00,4.760330578512396438e-02
7.373737373737373701e+00,4.647689011325372571e-02
7.474747474747474918e+00,4.530149984695437670e-02
7.575757575757575246e+00,4.407713498622590348e-02
7.676767676767676463e+00,4.280379553106824358e-02
7.777777777777777679e+00,4.148148148148147335e-02
7.878787878787878896e+00,4.011019283746555808e-02
7.979797979797979224e+00,3.868992959902050471e-02
8.080808080808081328e+00,3.722069176614629243e-02
8.181818181818181657e+00,3.570247933884295594e-02
8.282828282828281985e+00,3.413529231711050910e-02
8.383838383838384090e+00,3.251913070094886865e-02
8.484848484848484418e+00,3.085399449035811786e-02
8.585858585858586522e+00,2.913988368533820122e-02
8.686868686868686851e+00,2.737679828588919506e-02
8.787878787878787179e+00,2.556473829201102305e-02
8.888888888888889284e+00,2.370370370370368518e-02
8.989898989898989612e+00,2.179369452096726473e-02
9.090909090909089940e+00,1.983471074380167148e-02
9.191919191919192045e+00,1.782675237220691239e-02
9.292929292929292373e+00,1.576981940618303948e-02
9.393939393939394478e+00,1.366391184572999899e-02
9.494949494949494806e+00,1.150902969084788112e-02
9.595959595959595134e+00,9.305172941536590456e-03
9.696969696969697239e+00,7.052341597796127869e-03
9.797979797979797567e+00,4.750535659626592237e-03
9.898989898989899672e+00,2.399755127027849121e-03
1.000000000000000000e+01,0.000000000000000000e+00
