Time, Q
0.000000000000000000e+00,9.000000000000000222e-01
1.010101010101010083e-01,9.006384629892435489e-01
2.020202020202020166e-01,9.025365377064183958e-01
3.030303030303030387e-01,9.056682527756908518e-01
4.040404040404040331e-01,9.100076368212273170e-01
5.050505050505050830e-01,9.155287184671941914e-01
6.060606060606060774e-01,9.222055263377577639e-01
7.070707070707070718e-01,9.300120890570844345e-01
8.080808080808080662e-01,9.389224352493407144e-01
9.090909090909090606e-01,9.489105935386927815e-01
1.010101010101010166e+00,9.599505925493070357e-01
1.111111111111111160e+00,9.720164609053498772e-01
1.212121212121212155e+00,9.850822272309875949e-01
1.313131313131313149e+00,9.991219201503866998e-01
1.414141414141414144e+00,1.014109568287713481e+00
1.515151515151515138e+00,1.030019200267134227e+00
1.616161616161616132e+00,1.046824844712815228e+00
1.717171717171717127e+00,1.064500530248923216e+00
1.818181818181818121e+00,1.083020285499624258e+00
1.919191919191919116e+00,1.102358139089084865e+00
2.020202020202020332e+00,1.122488119641471327e+00
2.121212121212121104e+00,1.143384255780949932e+00
2.222222222222222321e+00,1.165020576131687413e+00
2.323232323232323093e+00,1.187371109317849394e+00
2.424242424242424310e+00,1.210409883963603050e+00
2.525252525252525082e+00,1.234110928693114229e+00
2.626262626262626299e+00,1.258448272130549439e+00
2.727272727272727071e+00,1.283395942900075193e+00
2.828282828282828287e+00,1.308927969625857557e+00
2.929292929292929060e+00,1.335018380932063042e+00
3.030303030303030276e+00,1.361641205442858382e+00
3.131313131313131048e+00,1.388770471782409199e+00
3.232323232323232265e+00,1.416380208574882449e+00
3.333333333333333481e+00,1.444444444444444642e+00
3.434343434343434254e+00,1.472937208015261401e+00
3.535353535353535470e+00,1.501832527911499460e+00
3.636363636363636243e+00,1.531104432757325329e+00
3.737373737373737459e+00,1.560726951176905297e+00
3.838383838383838231e+00,1.590674111794405654e+00
3.939393939393939448e+00,1.620919943233992910e+00
4.040404040404040664e+00,1.651438474119833355e+00
4.141414141414140992e+00,1.682203733076093055e+00
4.242424242424242209e+00,1.713189748726938744e+00
4.343434343434343425e+00,1.744370549696536710e+00
4.444444444444444642e+00,1.775720164609053686e+00
4.545454545454544970e+00,1.807212622088655074e+00
4.646464646464646187e+00,1.838821950759508272e+00
4.747474747474747403e+00,1.870522179245778904e+00
4.848484848484848619e+00,1.902287336171633481e+00
4.949494949494949836e+00,1.934091450161238956e+00
5.050505050505050164e+00,1.965908549838760955e+00
5.151515151515151381e+00,1.997712663828366431e+00
5.252525252525252597e+00,2.029477820754221007e+00
5.353535353535353813e+00,2.061178049240492083e+00
5.454545454545454142e+00,2.092787377911344837e+00
5.555555555555555358e+00,2.124279835390946669e+00
5.656565656565656575e+00,2.155629450303463202e+00
5.757575757575757791e+00,2.186810251273060945e+00
5.858585858585858119e+00,2.217796266923906856e+00
5.959595959595959336e+00,2.248561525880167000e+00
6.060606060606060552e+00,2.279080056766007001e+00
6.161616161616161769e+00,2.309325888205594257e+00
6.262626262626262097e+00,2.339273048823094836e+00
6.363636363636363313e+00,2.368895567242674360e+00
6.464646464646464530e+00,2.398167472088500229e+00
6.565656565656565746e+00,2.427062791984738510e+00
6.666666666666666963e+00,2.455555555555555269e+00
6.767676767676767291e+00,2.483619791425117018e+00
6.868686868686868507e+00,2.511229528217590268e+00
6.969696969696969724e+00,2.538358794557141529e+00
7.070707070707070940e+00,2.564981619067936869e+00
7.171717171717171269e+00,2.591072030374141910e+00
7.272727272727272485e+00,2.616604057099924496e+00
7.373737373737373701e+00,2.641551727869450250e+00
7.474747474747474918e+00,2.665889071306885683e+00
7.575757575757575246e+00,2.689590116036396861e+00
7.676767676767676463e+00,2.712628890682150296e+00
7.777777777777777679e+00,2.734979423868312498e+00
7.878787878787878896e+00,2.756615744219049979e+00
7.979797979797979224e+00,2.777511880358527918e+00
8.080808080808081328e+00,2.797641860910914602e+00
8.181818181818181657e+00,2.816979714500375653e+00
8.282828282828281985e+00,2.835499469751076251e+00
8.383838383838384090e+00,2.853175155287184683e+00
8.484848484848484418e+00,2.869980799732865240e+00
8.585858585858586522e+00,2.885890431712286208e+00
8.686868686868686851e+00,2.900878079849613211e+00
8.787878787878787179e+00,2.914917772769011872e+00
8.888888888888889284e+00,2.927983539094649590e+00
8.989898989898989612e+00,2.940049407450692431e+00
9.090909090909089940e+00,2.951089406461306464e+00
9.191919191919192045e+00,2.961077564750659086e+00
9.292929292929292373e+00,2.969987910942915033e+00
9.393939393939394478e+00,2.977794473662241703e+00
9.494949494949494806e+00,2.984471281532805609e+00
9.595959595959595134e+00,2.989992363178771928e+00
9.696969696969697239e+00,2.994331747224308504e+00
9.797979797979797567e+00,2.997463462293581404e+00
9.898989898989899672e+00,2.999361537010755807e+00
1.000000000000000000e+01,2.999999999999999112e+00
